Area Code,Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"26","Brunei Darussalam","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","1.664000","1.664000","1.664000","1.664000","1.664000","1.664000","1.664000","1.664000","1.664000","1.664000","1.664000","1.940000","1.940000","1.940000","1.940000","1.940000","1.940000","1.940000","1.940000","1.940000","1.940000","0.276000","0.276000","0.276000","0.276000","0.276000","0.034000","0.034000","0.034000","0.034000","0.034000"
"26","Brunei Darussalam","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","878.286900","878.286900","878.286900","878.286900","878.286900","878.286900","878.286900","878.286900","878.286900","878.286900","878.286900","1023.964300","1023.964300","1023.964300","1023.964300","1023.964300","1023.964300","1023.964300","1023.964300","1023.964300","1023.964300","145.677400","145.677400","145.677400","145.677400","145.677400","17.945800","17.945800","17.945800","17.945800","17.945800"
"26","Brunei Darussalam","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","844.506700","844.506700","844.506700","844.506700","844.506700","844.506700","844.506700","844.506700","844.506700","844.506700","844.506700","897.288300","897.288300","897.288300","897.288300","897.288300","897.288300","897.288300","897.288300","897.288300","897.288300","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"27","Bulgaria","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","3327.000000","3331.800000","3336.600000","3341.400000","3346.200000","3351.000000","3355.800000","3360.600000","3365.400000","3370.200000","3375.000000","3411.200000","3447.400000","3483.600000","3519.800000","3556.000000","3592.200000","3628.400000","3664.600000","3700.800000","3737.000000","3756.200000","3775.400000","3794.600000","3813.800000","3833.000000","3845.000000","3857.000000","3869.000000","3881.000000","3893.000000"
"27","Bulgaria","6751","Forestland","5110","Area","3051","UNFCCC","1000 ha","3634.263600","3641.201000","3648.138400","3655.075900","3662.013300","3668.950800","3675.888200","3682.825700","3689.763100","3696.700600","3703.638000","3715.799500","3727.961000","3740.122500","3752.284000","3764.445500","3776.607000","3788.768500","3800.930000","3813.091500","3825.253000","3837.414500","3849.576000","3861.737500","3873.899000","3886.060500","3898.222000","3910.383500","3922.545000","3934.706500",
"27","Bulgaria","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-25291.475000","-28218.391700","-28218.391700","-28218.391700","-28218.391700","-28218.391700","-28218.391700","-28218.391700","-28218.391700","-28218.391700","-28218.391700","-13293.126000","-13293.126000","-13293.126000","-13293.126000","-13293.126000","-38226.474000","-38226.474000","-38226.474000","-38226.474000","-38226.474000"
"27","Bulgaria","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3051","UNFCCC","kilotonnes","-17317.845100","-17331.127200","-17331.711800","-17293.903500","-17294.727200","-17297.032400","-16803.296500","-16736.727100","-16683.625000","-16671.383300","-16640.342600","-12091.881700","-12128.626500","-12193.235400","-12214.748100","-12267.722300","-11048.937300","-11076.234800","-11123.577600","-11175.291400","-11162.975900","-8246.802900","-8265.652700","-8289.629900","-8323.358400","-8275.535100","-8304.506000","-8335.835100","-8384.984000","-8404.357900",
"27","Bulgaria","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","9.900000","9.900000","9.900000","9.900000","9.900000","9.900000","9.900000","9.900000","9.900000","9.900000","9.900000","11.600000","11.600000","11.600000","11.600000","11.600000","11.600000","11.600000","11.600000","11.600000","11.600000","0.000000","0.000000","0.000000","0.000000","0.000000","9.400000","9.400000","9.400000","9.400000","9.400000"
"27","Bulgaria","6750","Net Forest conversion","5110","Area","3051","UNFCCC","1000 ha","1.405400","1.481100","1.657200","1.635800","1.646400","1.575300","1.504000","1.433600","1.372700","1.410300","1.426900","1.369300","1.416300","1.419100","1.429500","1.546600","1.628100","1.849100","2.604900","2.633100","2.888500","2.855000","2.836400","3.250000","3.323200","3.913500","4.377900","4.865600","4.991600","5.533100",
"27","Bulgaria","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","2323.200000","2323.200000","2323.200000","2323.200000","2323.200000","2323.200000","2323.200000","2323.200000","2323.200000","2323.200000","2323.200000","3472.846700","3472.846700","3472.846700","3472.846700","3472.846700","3472.846700","3472.846700","3472.846700","3472.846700","3472.846700","0.000000","0.000000","0.000000","0.000000","0.000000","3247.794000","3247.794000","3247.794000","3247.794000","3247.794000"
